Kraj,Trida,Sesk,Podsesk,Pol,Para,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2024 VKT
Hlavní město Praha,Běžné výdaje,50,502,5021,3744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3745,3013109.0,2799026.0,2785094.0,2558768.0,2847263.0,3794552.38,4455526.0,4000347.0,4233415.0,3782275.84,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3749,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3759,0.0,10000.0,21250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3791,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,3900,0.0,0.0,0.0,0.0,60543.0,62217.0,5300.0,0.0,48180.0,47508.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4227,2256414.0,442200.0,759734.0,858923.0,440177.0,252076.0,215622.0,236145.0,255540.0,251067.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4229,511008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4319,15835.0,121040.0,3770.0,0.0,85580.0,44400.0,172819.0,45850.0,63325.0,27475.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4329,8280.0,48000.0,48000.0,36000.0,24000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4339,1016760.0,1347344.0,1357035.0,1699068.0,1499838.0,1341120.0,1183696.0,784280.0,1093015.0,95320.0,0.0,978304.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4341,0.0,0.0,35760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4342,888800.0,1080150.0,1244988.0,2231855.0,2401337.0,2212748.0,1937158.0,3079919.0,2929101.0,679974.5,0.0,2744160.5
Hlavní město Praha,Běžné výdaje,50,502,5021,4349,699906.0,34817.0,388407.0,1281014.0,1097410.0,749680.8,609991.75,866618.0,810230.0,609600.0,0.0,40000.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17825.0,29565.0,19503.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4351,183680.0,139680.0,328810.0,259965.0,258325.0,368527.0,413056.0,255341.0,159192.0,105008.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4359,174661.0,30000.0,0.0,17000.0,0.0,0.0,40000.0,73600.0,128042.0,163576.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4371,61012.0,28230.0,302200.0,689600.0,524300.0,204900.0,297076.0,449948.0,464500.0,44000.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4379,60000.0,131756.0,572170.0,988912.0,536304.0,524925.0,694106.0,1086180.0,712110.0,130975.0,0.0,191960.0
Hlavní město Praha,Běžné výdaje,50,502,5021,4399,0.0,45000.0,225861.0,321712.0,1157985.0,1213598.0,0.0,146700.0,260301.01,26746.369999999995,0.0,88217.63
Hlavní město Praha,Běžné výdaje,50,502,5021,5212,0.0,0.0,0.0,0.0,0.0,147260.0,174355.0,182017.0,0.0,45270.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,5213,0.0,0.0,0.0,0.0,0.0,3658751.79,1403446.0,562922.0,0.0,93000.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,5311,2815485.0,2925238.0,3137384.0,3088228.0,3374929.0,3127890.0,3091239.0,3418678.0,3296476.0,1056498.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,5399,30000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,0.0,60000.0
Hlavní město Praha,Běžné výdaje,50,502,5021,5512,59980.0,57950.0,67500.0,72360.0,72608.0,360685.0,300826.0,419966.0,293050.0,222850.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,6112,1854319.0,2594936.0,2911935.0,5150568.0,6477261.0,6433197.0,7574272.0,7505135.0,10019713.0,9511507.0,0.0,1800.0
Hlavní město Praha,Běžné výdaje,50,502,5021,6114,0.0,1090395.0,19734480.0,1016.0,4218441.0,0.0,26564429.0,0.0,595.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,6115,41379.0,5831505.0,0.0,38291543.66,11495.0,12586150.0,0.0,35428015.0,0.0,86958.0,0.0,13122025.13
Hlavní město Praha,Běžné výdaje,50,502,5021,6117,0.0,0.0,0.0,0.0,26872811.0,0.0,0.0,0.0,0.0,1238242.1000000015,0.0,24328754.9
Hlavní město Praha,Běžné výdaje,50,502,5021,6118,0.0,0.0,599559.0,25281176.0,0.0,0.0,0.0,1159000.0,34076373.0,200.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,6149,0.0,0.0,0.0,0.0,411301.0,366571.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,502,5021,6171,79416330.37,88863423.12,104835022.44,115488670.96,110315924.03,109554573.83,120925603.38,125320971.29,121543394.94,114615247.84,0.0,9660995.74
